3,12,Turret,Build
19,10,Turret,Build
0,13,Wall,Build
1,13,Wall,Build
2,13,Wall,Build
3,13,Wall,Build
4,12,Wall,Build
5,11,Wall,Build
6,10,Wall,Build
7,9,Wall,Build
8,8,Wall,Build
7,7,Wall,Build
10,6,Wall,Build
11,5,Wall,Build
12,4,Wall,Build
13,3,Wall,Build
14,2,Wall,Build
15,2,Wall,Build
16,2,Wall,Build
9,8,Wall,Build
10,8,Wall,Build
11,8,Wall,Build
12,7,Wall,Build
13,6,Wall,Build
14,5,Wall,Build
15,4,Wall,Build
16,5,Wall,Build
17,6,Wall,Build
18,7,Wall,Build
19,8,Wall,Build
20,9,Wall,Build
27,13,Wall,Build
26,13,Wall,Build
25,13,Wall,Build
24,13,Wall,Build
23,13,Wall,Build
22,13,Wall,Build
21,13,Wall,Build
20,13,Wall,Build
19,13,Wall,Build
19,12,Turret,Build
3,13,Wall,Upgrade
19,13,Wall,Upgrade
23,13,Wall,Upgrade
0,13,Wall,Upgrade
27,13,Wall,Upgrade
23,12,Turret,Build
22,10,Support,Build
4,12,Wall,Upgrade
3,12,Turret,Upgrade
21,9,Support,Build
21,13,Wall,Upgrade
25,13,Wall,Upgrade
20,13,Wall,Upgrade
1,13,Wall,Upgrade
26,13,Wall,Upgrade
24,13,Wall,Upgrade
22,13,Wall,Upgrade
2,13,Wall,Upgrade
5,11,Wall,Upgrade
25,12,Turret,Build
20,12,Turret,Build
20,8,Support,Build
19,7,Support,Build
19,10,Turret,Upgrade
18,6,Support,Build
4,11,Turret,Build
19,9,Turret,Build
20,10,Turret,Build
26,12,Wall,Build
26,12,Wall,Upgrade
4,13,Wall,Build
4,13,Wall,Upgrade
19,12,Turret,Upgrade
4,11,Turret,Upgrade
20,12,Turret,Upgrade
23,12,Turret,Upgrade
25,12,Turret,Upgrade
21,12,Turret,Build
22,12,Turret,Build
24,12,Turret,Build
20,10,Turret,Upgrade
19,9,Turret,Upgrade
21,12,Turret,Upgrade
22,12,Turret,Upgrade
24,12,Turret,Upgrade
21,10,Turret,Upgrade
16,4,Support,Build
